bv_id,year,net_assets_th_gbp
GB07115152,2016,-7.004
GB07115152,2017,-7.612
GB07115152,2018,-1.095
GB07115152,2019,0.963
GB07115174,2011,1.514
GB07115174,2012,3.163
GB07115174,2013,4.45
GB07115174,2014,4.45
GB07115174,2015,3.73
GB07115174,2016,5.402
GB07115174,2017,6.506
GB07115174,2018,8.407
GB07115174,2019,12.364
GB07115182,2011,-0.151
GB07115182,2012,-1.028
GB07115182,2013,-0.987
GB07115186,2011,0.305
GB07115186,2012,0.111
GB07115186,2013,0.568
GB07115186,2014,8.512
GB07115186,2015,0.607
GB07115186,2016,24.632
GB07115186,2017,53.668
GB07115186,2018,46.688
GB07115186,2019,48.797
GB07115215,2011,1.0
GB07115215,2012,1.121
GB07115215,2013,-0.283
GB07115215,2014,0.001
GB07115270,2011,21.179
GB07115270,2012,1.181
GB07115270,2013,0.001
GB07115270,2014,1.318
GB07115270,2015,8.637
GB07115270,2016,7.178
GB07115270,2017,4.362
GB07115291,2011,-9.219
GB07115291,2012,49.108
GB07115291,2013,81.328
GB07115291,2014,118.922
GB07115291,2015,120.065
GB07115291,2016,120.065
GB07115291,2017,120.065
GB07115307,2011,-2.254
GB07115307,2012,20.887
GB07115307,2013,21.096
GB07115307,2014,21.003
GB07115307,2015,20.912
GB07115307,2016,20.911
GB07115307,2017,23.049
GB07115307,2018,22.974
GB07115307,2019,22.869
GB07115353,2011,0.002
GB07115353,2012,3.891
GB07115353,2013,6.689
GB07115353,2014,6.465
GB07115353,2015,1.559
GB07115353,2016,1.213
GB07115353,2017,2.487
GB07115353,2018,2.857
GB07115360,2012,4.104
GB07115360,2013,2.919
GB07115360,2014,2.079
GB07115360,2015,1.517
GB07115360,2016,4.786
GB07115360,2017,4.701
GB07115360,2018,2.792
GB07115360,2019,5.444
GB07115368,2011,0.002
GB07115368,2013,2.415
GB07115375,2011,-2.009
GB07115375,2012,-6.806
GB07115375,2013,-15.53
GB07115375,2014,-22.262
GB07115375,2015,-29.486
GB07115375,2016,-14.087
GB07115375,2017,-13.118
GB07115375,2018,-11.092
GB07115375,2019,-9.345
GB07115423,2011,6.773
GB07115423,2012,-2.405
GB07115423,2013,-2.111
GB07115423,2014,-0.679
GB07115423,2015,4.95
GB07115423,2016,3.866
GB07115423,2017,15.671
GB07115423,2018,8.718
GB07115423,2019,0.001
GB07115460,2011,-0.759
GB07115460,2012,-7.478
GB07115460,2013,-17.036
GB07115460,2014,55.461
GB07115460,2015,48.639
GB07115460,2016,29.085
GB07115460,2017,20.422
GB07115460,2018,13.441
GB07115460,2019,12.382
GB07115463,2011,0.001
GB07115463,2012,0.45
GB07115463,2013,4.302
GB07115463,2014,1.75
GB07115463,2015,6.148
GB07115463,2016,7.788
GB07115463,2017,3.301
GB07115463,2018,3.116
GB07115463,2019,0.96
GB07115476,2011,0.1
GB07115476,2012,19.116
GB07115476,2013,38.542
GB07115476,2014,20.343
GB07115476,2015,38.285
GB07115476,2016,54.251
GB07115476,2017,67.447
GB07115476,2018,86.23
GB07115476,2019,97.748
GB07115477,2011,-85.244
GB07115477,2012,-109.679
GB07115477,2013,-118.718
GB07115477,2014,-121.849
GB07115477,2015,-101.614
GB07115477,2016,-98.906
GB07115477,2017,-89.412
GB07115477,2018,-65.834
GB07115477,2019,-85.866
GB07115509,2011,0.51
GB07115509,2012,2.69
GB07115509,2013,-0.657
GB07115509,2014,-0.657
GB07115509,2015,-0.657
GB07115509,2016,-0.657
GB07115509,2017,-0.657
GB07115511,2011,-0.134
GB07115511,2012,-0.524
GB07115511,2013,-0.334
GB07115511,2014,0.001
GB07115511,2015,-0.815
GB07115511,2016,-1.644
GB07115511,2017,-1.644
GB07115511,2018,-1.644
GB07115511,2019,-1.644
GB07115541,2011,0.117
GB07115541,2012,4.004
GB07115541,2013,36.369
GB07115541,2014,90.846
GB07115541,2015,76.762
GB07115541,2016,91.391
GB07115541,2017,131.025
GB07115541,2018,144.694
GB07115541,2019,100.57
GB07115552,2011,0.172
GB07115552,2012,3.501
GB07115552,2013,2.611
GB07115552,2014,19.378
GB07115552,2015,8.068
GB07115552,2016,8.179
GB07115552,2017,19.235
GB07115552,2018,3.509
GB07115552,2019,13.863
GB07115557,2011,-18.095
GB07115557,2012,-25.8
GB07115557,2013,-33.413
GB07115557,2014,-37.367
GB07115557,2015,-40.348
GB07115557,2016,-44.592
GB07115557,2017,-46.356
GB07115560,2011,0.002
GB07115560,2012,0.002
GB07115560,2013,0.002
GB07115560,2014,51.316
GB07115560,2015,45.721
GB07115560,2016,62.146
GB07115560,2017,82.779
GB07115560,2018,90.628
GB07115560,2019,98.134
GB07115563,2011,-14.107
GB07115563,2012,6.159
GB07115563,2013,28.535
GB07115563,2014,73.261
GB07115563,2015,129.45
GB07115563,2016,205.314
GB07115563,2017,299.278
GB07115563,2018,313.311
GB07115573,2011,1.24
